lead_time,stays_in_weekend_nights,stays_in_week_nights,Average Daily Rate,total_of_special_requests,is_canceled
33,1,4,100.3,0,0
12,2,1,105.0,1,0
8,1,0,101.0,1,0
205,0,1,99.0,0,0
104,0,3,102.3,0,0
49,0,3,89.3,1,0
151,2,1,168.3,2,0
22,1,2,115.0,1,0
2,0,1,39.0,1,0
32,1,2,226.33,0,0
169,1,1,99.0,1,0
12,2,1,142.33,1,0
49,1,3,126.0,1,0
8,0,1,91.0,1,0
329,0,2,89.1,1,0
84,1,3,94.8,2,0
34,1,1,120.0,0,0
1,1,0,234.0,0,0
119,1,1,144.0,0,0
68,2,3,133.48,1,0
160,2,4,115.2,0,0
20,0,3,110.0,1,0
185,0,3,189.0,0,0
91,1,3,134.1,2,0
62,0,4,149.4,0,0
13,0,2,121.0,1,0
6,0,3,68.4,1,0
35,0,2,65.83,1,0
4,2,1,78.0,1,0
30,0,4,92.9,1,0
98,0,1,126.9,1,0
155,2,5,61.8,2,0
170,2,5,110.0,1,0
0,0,1,56.0,1,0
117,3,7,137.8,1,0
141,1,2,85.5,2,0
180,1,0,54.75,2,0
6,0,2,69.5,2,0
256,1,3,258.0,2,0
5,0,3,91.0,0,0
104,2,5,71.9,1,0
10,2,4,110.08,1,0
56,2,4,137.44,0,0
270,1,2,95.33,2,0
176,2,6,135.2,3,0
22,1,4,74.8,1,0
133,1,2,99.3,1,0
37,2,1,43.0,1,0
151,1,0,143.1,2,0
0,0,1,72.8,0,0
2,0,1,104.72,1,0
13,0,2,93.0,1,0
69,1,3,80.75,1,0
108,1,2,120.6,1,0
120,0,3,132.3,2,0
86,2,1,126.9,1,0
54,0,4,152.5,3,0
191,2,2,153.5,1,0
74,1,3,97.02,0,0
42,2,1,196.67,0,0
0,0,2,180.0,1,0
1,0,1,115.0,0,0
12,0,3,132.0,1,0
46,2,3,160.2,1,0
18,0,1,128.0,1,0
5,1,0,35.11,1,0
128,0,1,126.0,1,0
254,1,2,108.0,1,0
8,0,3,116.33,1,0
0,1,0,67.0,0,0
143,0,3,100.8,0,0
1,0,1,153.0,2,0
102,2,5,73.0,2,0
67,1,1,94.5,1,0
80,1,1,69.0,0,0
33,0,1,207.9,1,0
18,2,0,205.1,1,0
32,1,1,109.8,1,0
1,0,2,68.5,1,0
26,0,1,182.0,2,0
38,1,2,145.8,1,0
24,2,2,160.0,1,0
14,2,1,68.0,1,0
16,2,1,129.0,2,0
8,0,1,80.08,1,0
4,0,4,74.8,2,0
139,0,3,99.0,3,0
36,1,0,161.1,2,0
41,0,3,151.5,3,0
300,4,8,109.28,1,0
153,0,5,207.0,3,0
61,2,5,207.64,1,0
180,0,4,90.95,1,0
58,0,2,80.3,1,0
31,0,3,149.0,3,0
18,0,1,128.0,1,0
4,0,4,132.08,1,0
13,1,5,130.33,0,0
186,1,2,105.3,1,0
3,0,0,0.0,2,0
19,2,2,150.0,2,0
72,0,2,134.0,2,0
44,0,1,231.0,1,0
7,0,2,196.5,1,0
21,2,5,104.43,2,0
34,2,1,120.9,1,0
53,2,3,88.4,1,0
217,3,7,46.63,1,0
6,0,2,108.0,0,0
69,2,2,125.1,1,0
1,1,5,192.0,1,0
111,1,4,214.0,1,0
224,1,3,73.37,1,0
14,0,2,150.0,1,0
0,0,3,135.0,2,0
2,1,0,43.0,1,0
5,1,1,220.0,2,0
11,0,4,80.75,2,0
2,0,3,84.0,1,0
72,1,3,135.0,2,0
39,1,3,270.5,1,0
35,2,4,109.3,2,0
0,2,1,91.33,0,0
122,1,3,99.45,0,0
200,2,2,58.2,1,0
128,2,4,163.2,2,0
17,1,2,130.5,1,0
0,0,1,119.0,0,0
215,1,2,96.3,2,0
249,2,5,129.09,0,0
89,2,1,79.5,1,0
1,1,1,101.5,2,0
123,2,5,235.0,0,0
76,2,2,82.45,0,0
9,1,0,89.0,1,0
24,2,0,94.35,3,0
54,1,0,60.0,0,0
75,1,1,151.2,1,0
212,1,1,125.1,1,0
36,1,2,80.0,0,0
102,2,6,99.0,1,0
16,0,3,105.0,2,0
109,0,2,112.5,0,0
11,0,2,95.0,0,0
126,2,3,118.99,0,0
309,2,5,141.3,1,0
2,0,2,117.65,1,0
41,0,3,79.23,2,0
131,1,5,152.0,1,0
4,0,2,216.0,1,0
78,1,2,117.0,1,0
22,1,3,109.25,3,0
343,1,2,71.1,3,0
7,0,2,222.0,1,0
59,1,2,60.35,1,0
6,1,4,91.8,0,0
7,0,0,0.0,0,0
6,2,3,103.15,1,0
20,1,0,89.0,1,0
146,2,1,175.5,2,0
33,1,1,131.4,0,0
93,1,3,72.25,2,0
26,1,0,61.0,1,0
152,0,1,89.1,1,0
28,1,3,174.0,2,0
3,0,1,107.0,0,0
85,1,2,177.0,0,0
58,0,1,116.1,1,0
0,0,2,0.0,0,0
167,0,1,118.8,2,0
219,1,1,130.5,1,0
99,0,3,103.5,1,0
80,0,1,85.0,2,0
138,2,0,164.0,1,0
9,4,7,63.82,2,0
2,1,1,114.0,1,0
2,2,1,109.0,1,0
0,0,1,70.0,1,0
161,1,3,72.07,0,0
49,2,2,107.1,1,0
62,1,1,150.0,1,0
2,1,1,105.0,0,0
15,0,2,146.0,2,0
2,0,2,164.5,2,0
6,0,1,135.0,1,0
180,1,0,54.75,2,0
40,2,2,94.5,2,0
42,0,4,73.37,1,0
76,2,5,109.45,1,0
2,0,1,40.0,1,0
10,2,0,214.5,1,0
218,0,2,54.0,1,0
6,0,2,79.2,0,0
9,1,2,132.0,1,0
49,2,2,46.8,1,0
10,1,3,50.0,1,0
20,0,2,68.0,1,0
11,0,2,123.0,0,0
17,0,1,89.0,0,0
148,0,5,120.78,1,0
0,0,1,101.18,0,0
190,1,1,177.3,2,0
76,2,3,58.9,1,0
0,1,0,0.0,2,0
186,0,1,123.3,0,0
75,2,5,94.0,1,0
210,0,0,0.0,1,0
23,2,1,168.0,1,0
1,0,1,81.0,2,0
5,0,2,88.0,3,0
35,1,3,90.78,0,0
12,1,2,163.67,1,0
28,1,3,74.8,1,0
127,0,1,71.7,1,0
141,2,2,149.85,2,0
14,0,2,126.0,2,0
59,1,1,89.1,1,0
0,0,2,85.0,0,0
13,0,1,177.0,0,0
0,0,1,131.0,1,0
44,2,2,130.0,1,0
0,2,0,50.8,0,0
281,2,1,261.0,2,0
30,0,2,114.0,2,0
3,2,2,106.36,1,0
125,0,3,133.74,1,0
18,2,4,81.35,0,0
99,2,5,126.0,1,0
112,1,0,144.0,0,0
138,1,1,65.7,1,0
274,0,1,15.0,2,0
0,0,2,117.0,0,0
5,0,1,171.0,1,0
229,2,4,247.33,0,0
13,2,2,139.0,2,0
4,1,2,139.0,1,0
30,2,2,126.9,1,0
0,0,2,67.31,0,0
8,0,3,92.67,2,0
66,1,2,87.3,1,0
206,0,3,117.0,0,0
56,2,1,93.6,2,0
14,1,2,120.0,1,0
24,0,3,114.0,2,0
54,2,5,57.6,0,0
6,0,2,66.5,1,0
146,2,8,72.0,1,0
201,2,5,23.7,1,0
139,1,1,135.0,0,0
24,0,2,58.0,1,0
112,0,1,126.0,0,0
35,2,1,119.81,1,0
113,4,10,125.0,1,0
0,1,0,170.0,0,0
3,2,0,48.0,1,0
250,0,1,179.1,0,0
49,1,2,46.66,1,0
297,4,8,39.67,0,0
198,2,2,115.21,1,0
86,2,1,163.8,0,0
52,2,3,91.8,2,0
39,0,3,135.0,1,0
59,0,2,216.0,2,0
0,0,1,99.0,0,0
10,0,5,44.8,1,0
29,2,2,165.75,2,0
243,2,0,95.58,1,0
5,2,3,75.2,2,0
3,1,0,165.0,1,0
36,0,2,112.0,1,0
156,0,4,91.96,2,0
135,2,5,189.43,2,0
58,0,3,82.0,2,0
7,2,4,145.33,1,0
88,2,2,162.0,3,0
241,0,2,44.8,2,0
11,1,1,66.0,0,0
22,1,0,89.0,1,0
145,0,5,104.4,1,0
226,2,2,30.24,0,0
14,0,1,48.0,1,0
11,1,2,69.3,0,0
45,0,1,125.1,2,0
189,2,2,70.44,1,0
55,0,3,93.6,3,0
161,0,4,114.75,2,0
249,0,4,68.61,1,0
301,2,5,128.0,2,0
0,0,1,62.4,0,0
203,0,2,72.0,1,0
32,1,1,131.0,0,0
21,1,1,124.0,1,0
177,2,5,99.45,1,0
138,0,1,114.3,1,0
81,0,1,72.07,1,0
44,0,3,207.9,1,0
117,2,1,100.8,1,0
16,0,3,105.82,1,0
1,0,1,83.0,0,0
15,2,5,72.65,1,0
20,0,3,54.0,1,0
64,2,1,99.3,1,0
127,1,1,99.0,1,0
19,2,1,118.67,1,0
35,0,3,43.0,1,0
64,0,3,149.4,2,0
5,2,1,74.8,1,0
37,0,2,104.0,2,0
33,1,4,127.0,0,0
7,1,2,191.73,2,0
0,2,1,95.4,1,0
35,2,4,91.82,1,0
0,0,1,142.2,0,0
1,2,1,69.99,0,0
263,3,7,92.09,2,0
22,2,1,88.33,1,0
4,0,4,82.0,1,0
119,2,2,171.0,3,0
69,3,7,88.0,1,0
10,0,1,156.0,1,0
7,0,2,269.0,2,0
159,2,5,89.49,0,0
231,1,3,82.47,1,0
4,2,0,47.55,1,0
21,1,1,75.0,2,0
13,2,1,85.29,0,0
168,2,5,119.44,1,0
248,1,4,61.0,1,0
83,0,1,105.3,1,0
96,2,3,84.15,1,0
67,1,1,102.6,0,0
0,0,2,143.5,2,0
17,2,1,69.49,1,0
0,2,1,111.67,0,0
1,2,1,70.11,0,0
1,0,1,96.0,1,0
107,2,3,156.0,1,0
158,2,1,130.5,0,0
6,0,1,108.0,1,0
190,2,3,326.5,2,0
63,2,2,221.25,2,0
139,2,1,123.3,1,0
186,0,3,64.56,0,0
142,1,2,125.33,1,0
30,0,2,88.4,0,0
1,0,2,107.0,1,0
10,1,0,66.0,1,0
142,0,1,94.5,2,0
22,0,4,156.7,2,0
21,1,1,109.0,1,0
161,0,2,80.1,3,0
16,1,1,90.0,2,0
144,1,1,81.08,1,0
62,1,4,160.95,2,0
21,0,5,139.0,1,0
0,0,1,4.0,0,0
8,0,1,58.0,2,0
37,0,3,117.6,1,0
30,2,1,76.1,2,0
218,1,1,69.33,0,0
79,1,2,120.0,1,0
191,0,1,152.6,0,0
120,1,4,108.0,5,0
45,1,1,79.8,0,0
41,2,1,193.12,1,0
135,0,1,151.2,1,0
9,2,5,82.51,1,0
0,1,1,83.75,0,0
66,0,3,132.9,1,0
96,2,3,135.72,2,0
6,1,0,88.0,1,0
1,0,1,88.0,0,0
104,1,3,73.8,1,0
287,2,4,107.1,2,0
17,2,1,43.2,0,0
166,2,5,110.94,0,0
14,0,2,125.4,2,0
27,1,3,151.76,1,0
8,0,1,129.2,3,0
207,2,5,70.91,0,0
256,3,5,57.3,0,0
11,1,2,86.0,0,0
118,2,1,230.0,0,0
55,0,3,103.8,2,0
49,0,2,139.5,4,0
101,2,5,137.57,0,0
38,1,3,170.0,0,0
268,1,2,125.1,0,0
110,0,2,142.2,1,0
55,0,2,97.2,1,0
38,2,6,145.0,1,0
66,2,3,119.85,1,0
7,1,1,70.0,1,0
168,2,1,114.07,2,0
17,0,2,234.0,2,0
13,1,3,169.5,2,0
15,0,2,80.3,1,0
150,1,2,188.0,1,0
159,2,3,84.92,1,0
0,4,7,8.0,0,0
125,1,2,99.0,1,0
3,1,2,169.0,0,0
256,0,4,90.95,0,0
0,0,1,93.0,2,0
211,1,2,85.5,1,0
139,2,3,93.06,1,0
7,0,1,114.75,1,0
79,0,3,114.0,0,0
4,1,1,48.0,1,0
3,1,5,72.75,1,0
31,2,2,169.5,2,0
0,0,1,128.0,1,0
26,1,2,232.33,0,0
272,0,2,89.1,1,0
6,1,5,104.0,2,0
32,0,2,149.4,2,0
90,0,4,80.75,0,0
3,0,1,155.0,1,0
1,2,3,153.0,1,0
0,0,1,75.0,1,0
1,1,1,79.0,2,0
6,1,0,197.0,0,0
10,1,1,207.9,1,0
0,1,0,105.0,1,0
201,2,4,82.3,1,0
0,0,0,0.0,2,0
280,2,4,125.83,0,0
82,2,2,117.9,1,0
3,2,5,70.2,3,0
123,0,2,99.0,0,0
101,0,4,87.67,3,0
125,2,2,99.45,1,0
1,1,0,144.4,1,0
74,0,2,116.1,1,0
43,2,1,92.4,1,0
0,1,0,160.0,0,0
67,2,2,71.74,1,0
222,1,3,111.35,2,0
103,1,3,187.25,2,0
146,0,3,94.5,1,0
1,0,2,138.5,0,0
12,0,2,211.0,1,0
116,0,3,116.95,1,0
96,2,6,187.0,2,0
2,2,3,115.52,1,0
50,1,4,149.6,1,0
175,1,1,114.5,1,0
22,0,1,83.0,0,0
80,1,3,127.8,2,0
55,2,3,119.0,1,0
118,1,5,145.67,2,0
17,1,2,67.76,1,0
25,2,3,121.72,2,0
17,2,1,106.77,1,0
1,0,2,160.0,1,0
18,0,1,85.0,0,0
88,0,3,134.1,1,0
20,2,1,141.0,1,0
153,0,2,135.0,2,0
51,2,5,205.0,2,0
0,2,5,164.57,2,0
53,2,4,87.4,1,0
16,1,3,75.44,1,0
207,2,2,99.0,5,0
273,1,2,143.1,2,0
175,0,4,130.05,1,0
2,1,2,100.67,1,0
16,1,0,86.0,1,0
96,1,0,116.1,1,0
74,0,2,85.0,2,0
30,0,3,120.53,2,0
100,1,4,98.83,2,0
4,1,0,125.0,2,0
127,2,5,37.29,1,0
76,1,3,131.26,1,0
168,1,3,107.1,1,0
27,2,2,167.2,0,0
3,0,2,90.0,1,0
51,2,5,142.07,2,0
32,1,1,136.0,1,0
174,3,7,232.0,2,0
39,1,1,126.0,1,0
5,1,1,67.5,2,0
35,0,4,168.3,2,0
0,1,1,66.13,0,0
205,2,5,144.14,1,0
11,1,5,189.0,1,0
18,2,1,97.5,0,0
28,2,1,135.0,1,0
33,1,3,108.8,3,0
54,2,1,139.6,3,0
16,2,6,231.13,1,0
1,1,1,98.0,0,0
47,2,0,120.5,2,0
49,1,1,80.0,2,0
26,2,2,49.99,1,0
82,1,3,87.0,0,0
9,1,1,71.0,1,0
148,0,3,105.3,0,0
4,0,1,160.0,1,0
133,1,2,93.6,2,0
85,2,6,167.8,1,0
25,0,3,98.0,1,0
160,2,2,55.8,2,0
0,0,1,95.0,2,0
9,0,1,111.0,0,0
18,0,1,66.5,0,0
176,2,6,80.75,1,0
219,0,3,96.33,1,0
63,0,5,72.25,3,0
6,1,1,116.0,0,0
4,1,3,32.95,1,0
79,2,4,120.6,3,0
2,0,1,66.0,1,0
115,1,3,37.8,2,0
12,0,1,54.0,1,0
23,2,0,100.1,2,0
104,0,1,105.3,1,0
21,1,3,88.4,0,0
0,1,0,103.0,0,0
119,1,3,81.47,1,0
8,0,1,48.0,1,0
115,0,1,90.9,1,0
26,1,2,122.0,1,0
6,0,2,166.0,1,0
15,2,3,125.8,3,0
35,1,2,129.0,1,0
87,1,3,145.75,2,0
6,0,1,94.4,0,0
7,0,1,86.0,1,0
286,2,1,63.06,1,0
110,2,5,150.45,4,0
6,0,1,85.0,1,0
70,2,4,64.67,1,0
57,0,5,115.6,1,0
64,1,2,48.51,1,0
12,0,3,125.0,2,0
115,2,1,98.7,0,0
11,0,1,68.53,1,0
36,0,2,180.0,2,0
107,2,1,119.7,1,0
12,2,4,147.67,2,0
43,0,1,198.0,0,0
3,0,1,161.7,1,0
14,2,3,151.0,2,0
77,2,5,150.3,2,0
67,0,1,88.55,1,0
173,1,2,144.0,2,0
0,0,1,114.0,2,0
148,1,3,182.83,1,0
163,0,3,130.5,2,0
34,1,5,253.65,1,0
10,0,2,170.0,1,0
176,0,1,159.3,2,0
10,2,0,136.0,0,0
89,1,2,96.3,1,0
8,0,2,54.4,0,0
22,0,3,159.0,1,0
11,0,3,121.33,1,0
116,2,2,104.85,2,0
20,0,2,193.05,2,0
1,0,1,118.0,1,0
37,2,1,115.2,0,0
76,2,5,231.69,1,0
33,2,1,122.4,2,0
56,2,3,99.71,2,0
181,0,4,106.89,0,0
41,0,3,72.38,0,0
219,1,2,79.2,1,0
66,1,1,99.9,0,0
151,2,4,143.41,1,0
73,1,2,137.7,2,0
78,2,3,147.9,1,0
15,0,3,106.33,2,0
27,0,1,95.0,2,0
114,2,4,128.07,3,0
117,0,1,145.0,2,0
52,2,1,63.0,1,0
77,1,5,150.83,2,0
2,0,2,130.0,3,0
120,0,4,94.86,0,0
5,0,1,206.0,3,0
3,0,1,143.0,1,0
56,2,1,177.3,3,0
97,1,5,126.0,0,0
168,2,1,117.0,2,0
22,2,2,75.75,0,0
125,0,4,118.58,1,0
78,2,4,82.45,1,0
76,1,2,69.52,1,0
1,0,3,97.0,1,0
1,0,1,78.0,0,0
33,1,3,99.0,0,0
0,1,3,32.0,0,0
166,1,0,128.7,0,0
84,2,1,125.1,2,0
1,1,0,138.0,3,0
206,3,5,250.0,0,0
17,0,2,60.06,0,0
0,0,1,89.0,1,0
39,1,0,138.7,0,0
29,0,1,58.0,1,0
14,1,2,98.0,1,0
6,0,2,116.0,0,0
139,0,4,44.16,1,0
41,1,2,103.5,2,0
166,2,2,100.3,1,0
0,1,0,97.0,0,0
19,1,2,139.0,1,0
97,4,6,93.2,0,0
14,2,3,166.0,1,0
30,1,2,48.0,3,0
11,0,1,103.0,2,0
63,0,3,195.33,2,0
109,2,2,101.25,0,0
96,0,3,108.0,1,0
29,2,1,159.33,0,0
254,0,1,100.7,1,0
228,3,5,113.57,1,0
26,0,3,115.0,2,0
89,1,1,115.2,1,0
0,2,3,0.0,0,0
61,0,3,145.4,1,0
89,2,1,55.63,2,0
116,0,3,120.0,1,0
13,0,3,48.0,0,0
0,0,1,40.0,0,0
3,2,3,149.0,0,0
40,2,2,83.9,1,0
75,2,0,123.12,0,0
4,0,2,48.0,0,0
92,1,3,90.53,1,0
92,2,2,119.85,2,0
5,0,1,71.0,2,0
28,1,1,160.0,1,0
17,0,1,150.0,1,0
85,1,3,89.7,2,0
102,0,1,139.5,1,0
217,1,2,58.0,1,0
112,0,3,155.0,0,0
215,0,2,117.0,2,0
1,0,1,79.0,0,0
58,1,2,108.9,0,0
95,2,3,76.5,2,0
8,0,4,130.0,1,0
69,2,6,135.0,2,0
11,0,2,234.0,2,0
96,2,0,111.25,1,0
120,1,1,95.2,0,0
1,0,2,146.0,1,0
278,2,5,108.24,1,0
156,0,2,60.0,2,0
191,0,3,82.17,1,0
28,2,1,236.0,1,0
14,1,2,353.67,0,0
319,2,2,55.5,3,0
157,2,5,198.17,1,0
42,2,2,88.0,2,0
15,0,4,101.75,1,0
20,2,4,96.9,2,0
28,0,1,120.0,0,0
0,0,1,139.0,0,0
30,1,1,109.5,1,0
0,0,3,67.58,2,0
33,2,3,74.38,0,0
87,1,4,103.5,1,0
65,2,5,122.0,1,0
105,2,1,96.3,0,0
25,0,1,115.0,2,0
20,4,9,69.85,0,0
119,2,2,114.3,1,0
58,1,4,183.0,0,0
0,1,0,48.0,1,0
2,0,3,64.0,1,0
57,1,2,314.1,0,0
112,0,2,137.7,2,0
20,0,1,95.0,0,0
4,1,1,129.0,1,0
0,1,0,39.0,1,0
172,1,3,192.0,1,0
28,2,1,108.0,3,0
86,2,3,95.85,1,0
0,1,0,68.53,1,0
165,1,3,123.3,2,0
71,2,1,150.0,3,0
11,1,3,103.1,1,0
2,2,3,48.0,0,0
169,0,3,130.5,0,0
65,2,5,82.15,2,0
53,1,0,153.0,0,0
5,0,1,43.0,1,0
29,2,1,120.0,1,0
203,0,1,119.16,1,0
63,0,2,94.95,2,0
129,1,1,130.5,2,0
77,0,1,116.1,1,0
2,0,1,88.0,1,0
0,0,1,88.0,0,0
53,0,4,130.0,1,0
0,2,2,140.25,1,0
164,2,3,52.2,1,0
113,2,2,164.0,1,0
65,2,5,131.0,1,0
0,1,0,48.0,2,0
5,0,1,68.0,3,0
27,0,1,63.0,2,0
58,1,4,109.4,2,0
36,0,2,159.3,2,0
169,0,2,212.86,2,0
19,2,3,151.37,1,0
93,0,4,89.25,1,0
17,1,2,130.5,2,0
193,2,6,55.28,2,0
42,2,0,130.0,2,0
87,2,6,223.0,1,0
21,0,1,48.0,0,0
3,2,2,93.63,2,0
1,0,2,70.2,0,0
122,0,3,76.5,1,0
181,1,2,130.5,3,0
84,1,2,89.25,2,0
252,1,4,81.43,2,0
0,0,1,40.0,0,0
15,0,3,97.28,0,0
39,2,2,91.13,0,0
12,0,1,109.0,1,0
0,0,0,0.0,1,0
6,2,4,181.0,2,0
125,2,1,146.17,1,0
7,0,1,48.0,2,0
191,0,3,132.5,0,0
28,0,2,136.0,1,0
3,1,0,88.0,1,0
150,0,4,49.4,1,0
0,1,0,75.0,0,0
23,0,2,187.0,2,0
68,1,1,105.3,1,0
56,2,3,74.8,1,0
125,2,3,128.69,1,0
67,0,5,82.45,1,0
36,2,1,152.1,2,0
109,2,2,75.76,0,0
65,0,1,82.0,0,0
12,2,2,94.5,2,0
54,0,4,100.3,1,0
14,0,1,80.0,1,0
7,0,2,223.0,1,0
0,0,3,138.0,0,0
1,0,1,106.0,0,0
57,2,3,66.53,1,0
147,0,3,216.0,0,0
110,0,1,36.24,0,0
143,1,1,41.4,1,0
13,2,5,210.71,1,0
72,1,2,79.2,0,0
101,1,2,126.0,1,0
21,0,1,140.0,1,0
197,0,3,192.66,2,0
1,1,0,80.1,0,0
61,1,2,67.91,2,0
163,0,2,94.5,0,0
0,0,1,106.0,2,0
199,2,5,127.62,2,0
132,2,0,90.9,1,0
199,0,4,70.44,2,0
0,0,1,129.0,1,0
0,0,1,73.07,0,0
111,2,2,99.45,1,0
17,0,4,74.8,2,0
57,0,1,146.7,1,0
204,2,2,83.0,2,0
16,0,1,84.0,0,0
9,2,1,127.0,1,0
64,2,2,83.61,2,0
10,0,3,48.0,1,0
152,1,3,67.88,2,0
139,2,5,96.4,0,0
71,0,0,0.0,0,0
102,2,3,148.5,0,0
45,0,2,119.5,0,0
32,1,0,99.0,1,0
62,1,2,60.29,1,0
43,2,4,97.79,1,0
14,0,1,100.0,1,0
78,0,0,0.0,2,0
36,0,2,99.0,2,0
14,0,1,114.0,1,0
53,2,4,88.4,1,0
113,0,2,96.3,1,0
76,2,1,80.0,2,0
33,2,6,72.12,1,0
51,2,1,200.0,2,0
93,1,0,85.5,1,0
44,0,4,152.1,1,0
132,1,2,105.3,1,0
20,0,2,115.0,1,0
46,0,1,73.15,1,0
159,1,4,133.2,1,0
195,1,1,137.7,0,0
22,0,2,55.0,0,0
23,2,3,146.2,3,0
8,1,1,82.39,1,0
32,1,3,41.87,1,0
34,0,1,81.9,1,0
25,2,2,125.5,0,0
2,0,1,89.0,0,0
8,0,1,52.8,0,0
32,2,2,74.8,0,0
28,2,4,84.17,1,0
40,2,0,75.6,0,0
95,2,3,155.0,1,0
155,3,6,93.44,1,0
24,2,2,139.7,1,0
2,1,1,94.32,0,0
29,2,2,143.5,1,0
126,2,3,125.45,2,0
60,1,1,80.1,1,0
20,0,2,115.0,2,0
300,1,2,98.28,2,0
50,0,2,159.0,1,0
211,2,5,69.64,1,0
15,0,1,230.0,0,0
1,2,3,102.41,0,0
49,1,5,105.67,1,0
105,2,4,97.12,0,0
9,1,2,46.4,1,0
37,2,1,120.0,2,0
3,2,0,81.0,0,0
161,1,2,135.33,1,0
15,1,3,148.5,2,0
19,2,2,130.0,1,0
5,2,0,105.0,1,0
0,0,1,48.0,1,0
60,2,1,109.8,0,0
189,2,0,112.5,1,0
143,0,1,61.2,1,0
0,1,0,115.0,0,0
155,2,3,130.5,0,0
0,0,1,43.0,0,0
90,0,2,79.2,2,0
97,0,2,64.0,0,0
79,2,3,83.76,1,0
236,1,3,121.28,2,0
0,0,1,175.0,0,0
75,1,3,91.45,0,0
149,1,2,195.3,1,0
36,0,4,168.73,0,0
5,1,1,145.0,0,0
149,2,2,80.75,1,0
58,0,3,103.8,0,0
150,0,2,117.0,2,0
4,0,1,95.0,1,0
110,0,2,49.0,1,0
0,0,0,0.0,2,0
2,0,1,66.0,1,0
0,0,1,79.5,0,0
81,2,2,146.6,1,0
28,2,2,91.8,0,0
17,0,2,178.0,2,0
36,2,2,48.0,0,0
129,0,2,108.0,0,0
157,2,5,121.93,0,0
18,1,4,116.8,1,0
51,1,5,161.33,1,0
57,1,3,117.0,2,0
1,0,1,92.0,0,0
64,2,4,111.92,0,0
46,1,3,56.59,1,0
0,0,1,65.0,0,0
32,0,1,224.0,0,0
69,2,1,186.0,1,0
14,2,3,79.0,1,0
42,0,3,80.3,1,0
60,1,3,88.61,1,0
137,1,0,94.5,0,0
28,2,0,250.0,1,0
58,1,1,207.9,1,0
0,0,2,98.0,0,0
8,0,1,128.0,2,0
19,0,1,77.25,1,0
25,2,1,153.0,0,0
26,0,1,117.0,1,0
23,1,3,74.8,1,0
147,1,2,126.0,0,0
1,0,1,180.0,0,0
16,2,3,70.72,0,0
3,2,0,113.0,2,0
2,0,1,116.0,0,0
40,1,2,140.0,2,0
192,1,2,144.67,0,0
8,0,4,38.4,0,0
0,1,0,93.81,0,0
223,2,5,89.31,3,0
3,0,2,87.0,0,0
57,2,1,177.3,2,0
5,1,3,93.0,0,0
28,0,3,108.42,1,0
23,0,3,184.0,2,0
134,2,5,83.2,1,0
41,1,2,105.9,2,0
83,2,1,76.5,1,0
12,0,1,279.0,0,0
151,0,4,162.0,4,0
5,1,0,94.0,0,0
11,0,1,155.0,1,0
76,0,2,250.0,2,0
2,0,1,114.0,1,0
1,2,2,89.0,1,0
327,2,5,76.7,1,0
4,0,1,43.0,1,0
10,0,1,60.0,1,0
74,0,3,109.28,1,0
338,2,9,215.24,4,0
62,0,3,117.9,0,0
15,2,1,93.0,0,0
12,2,3,90.07,1,0
1,0,1,168.0,2,0
26,2,3,52.23,2,0
156,2,2,89.1,0,0
13,0,1,95.0,1,0
55,2,3,124.1,2,0
60,2,2,99.0,0,0
43,0,1,140.0,1,0
1,0,2,109.0,1,0
7,0,1,43.0,2,0
49,2,6,67.25,2,0
19,4,7,140.05,2,0
13,2,2,92.0,1,0
6,0,1,67.5,0,0
108,2,5,74.89,0,0
146,2,2,88.4,2,0
18,2,2,102.88,0,0
24,0,1,191.0,0,0
8,0,2,81.0,1,0
242,1,1,202.5,0,0
126,1,5,88.68,1,0
47,2,0,115.2,1,0
71,1,3,119.85,1,0
13,0,0,0.0,2,0
5,1,3,207.5,1,0
110,0,2,72.8,0,0
11,1,4,123.68,1,0
99,2,2,118.0,1,0
10,2,8,113.39,2,0
16,2,3,70.69,1,0
52,2,5,213.86,1,0
35,0,2,48.0,2,0
4,2,3,124.0,0,0
25,1,2,169.0,1,0
170,2,2,114.75,1,0
74,2,5,50.05,0,0
192,1,3,72.75,1,0
192,2,2,72.75,2,0
152,2,2,80.75,1,0
196,2,9,194.73,1,0
35,1,5,164.65,1,0
129,2,5,76.97,0,0
119,2,5,215.6,1,0
0,0,1,140.0,0,0
28,1,3,107.1,2,0
4,0,1,77.0,1,0
28,0,3,108.42,1,0
19,1,0,43.0,2,0
69,0,1,56.83,1,0
1,0,2,101.0,1,0
174,2,3,162.0,2,0
88,0,2,142.2,1,0
93,0,3,122.4,1,0
26,1,3,99.0,1,0
268,2,6,167.68,2,0
12,1,1,42.43,2,0
20,2,4,107.0,0,0
243,0,3,189.0,3,0
36,2,5,46.69,1,0
43,2,2,79.48,2,0
109,1,4,80.75,2,0
9,0,0,0.0,1,0
6,1,0,97.0,0,0
141,2,1,105.3,2,0
17,0,1,110.0,2,0
39,2,2,72.2,1,0
10,0,1,125.0,1,0
70,0,1,43.12,1,0
143,0,1,117.0,2,0
6,0,1,106.0,1,0
0,0,1,100.8,1,0
20,0,1,116.0,0,0
10,0,2,90.0,2,0
1,1,1,87.0,1,0
34,2,4,253.0,2,0
76,0,2,87.3,1,0
44,2,2,121.61,0,0
65,0,3,125.1,1,0
57,0,2,79.2,1,0
147,1,2,89.25,0,0
10,0,1,159.0,1,0
